date,time,nT,sq
26/03/2019,130442,40125.16,99
26/03/2019,130502,40124.95,99
26/03/2019,130522,40124.89,99
26/03/2019,130542,40124.6,99
26/03/2019,130602,40124.31,99
26/03/2019,130622,40124.16,99
26/03/2019,130642,40124.15,99
26/03/2019,130702,40124.2,99
26/03/2019,130722,40124.17,99
26/03/2019,130742,40124.15,99
26/03/2019,130802,40124.15,99
26/03/2019,130822,40124.34,99
26/03/2019,130842,40124.16,99
26/03/2019,130902,40124.06,99
26/03/2019,130922,40123.97,99
26/03/2019,130942,40123.92,99
26/03/2019,131002,40123.99,99
26/03/2019,131022,40123.9,99
26/03/2019,131042,40123.88,99
26/03/2019,131102,40123.84,99
26/03/2019,131122,40124.16,99
26/03/2019,131142,40123.65,99
26/03/2019,131202,40123.44,99
26/03/2019,131222,40123.24,99
26/03/2019,131242,40123.41,99
26/03/2019,131302,40123.34,99
26/03/2019,131322,40122.9,99
26/03/2019,131342,40122.89,99
26/03/2019,131402,40122.8,99
26/03/2019,131422,40122.76,99
26/03/2019,131442,40122.57,99
26/03/2019,131502,40122.7,99
26/03/2019,131522,40122.58,99
26/03/2019,131542,40122.53,99
26/03/2019,131602,40122.78,99
26/03/2019,131622,40122.52,99
26/03/2019,131642,40122.28,99
26/03/2019,131702,40121.99,99
26/03/2019,131722,40121.84,99
26/03/2019,131742,40121.76,99
26/03/2019,131802,40121.5,99
26/03/2019,131822,40121.46,99
26/03/2019,131842,40121.36,99
26/03/2019,131902,40121.12,99
26/03/2019,131922,40121.25,99
26/03/2019,131942,40121.04,99
26/03/2019,132002,40120.81,99
26/03/2019,132022,40120.8,99
26/03/2019,132042,40120.64,99
26/03/2019,132102,40120.5,99
26/03/2019,132122,40120.52,99
26/03/2019,132142,40120.52,99
26/03/2019,132202,40120.17,99
26/03/2019,132222,40119.86,99
26/03/2019,132242,40119.89,99
26/03/2019,132302,40120.01,99
26/03/2019,132322,40119.74,99
26/03/2019,132342,40119.22,99
26/03/2019,132402,40119.71,99
26/03/2019,132422,40119.72,99
26/03/2019,132442,40119.64,99
26/03/2019,132502,40119.46,99
26/03/2019,132522,40119.22,99
26/03/2019,132542,40119.28,99
26/03/2019,132602,40119.32,99
26/03/2019,132622,40119.47,99
26/03/2019,132642,40119.37,99
26/03/2019,132702,40119.32,99
26/03/2019,132722,40119.24,99
26/03/2019,132742,40119.28,99
26/03/2019,132802,40119.37,99
26/03/2019,132822,40119.14,99
26/03/2019,132842,40118.92,99
26/03/2019,132902,40118.84,99
26/03/2019,132922,40118.81,99
26/03/2019,132942,40118.92,99
26/03/2019,133002,40118.79,99
26/03/2019,133022,40118.68,99
26/03/2019,133042,40118.51,99
26/03/2019,133102,40118.49,99
26/03/2019,133122,40118.59,99
26/03/2019,133142,40118.41,99
26/03/2019,133202,40118.13,99
26/03/2019,133222,40117.85,99
26/03/2019,133242,40117.73,99
26/03/2019,133302,40117.88,99
26/03/2019,133322,40117.68,99
26/03/2019,133342,40117.62,99
26/03/2019,133402,40117.55,99
26/03/2019,133422,40117.54,99
26/03/2019,133442,40117.78,99
26/03/2019,133502,40117.62,99
26/03/2019,133522,40117.43,99
26/03/2019,133542,40117.26,99
26/03/2019,133602,40117.09,99
26/03/2019,133622,40117.08,99
26/03/2019,133642,40116.85,99
26/03/2019,133702,40116.67,99
26/03/2019,133722,40116.77,99
26/03/2019,133742,40116.78,99
26/03/2019,133802,40116.69,99
26/03/2019,133822,40116.38,99
26/03/2019,133842,40116.32,99
26/03/2019,133902,40116.3,99
26/03/2019,133922,40116.06,99
26/03/2019,133942,40116.01,99
26/03/2019,134002,40115.99,99
26/03/2019,134022,40115.83,99
26/03/2019,134042,40115.65,99
26/03/2019,134102,40115.68,99
26/03/2019,134122,40115.87,99
26/03/2019,134142,40115.89,99
26/03/2019,134202,40115.93,99
26/03/2019,134222,40115.85,99
26/03/2019,134242,40115.81,99
26/03/2019,134302,40115.57,99
26/03/2019,134322,40115.5,99
26/03/2019,134342,40115.62,99
26/03/2019,134402,40115.79,99
26/03/2019,134422,40115.84,99
26/03/2019,134442,40115.92,99
26/03/2019,134502,40115.97,99
26/03/2019,134522,40116.19,99
26/03/2019,134542,40116.14,99
26/03/2019,134602,40116.26,99
26/03/2019,134622,40116.63,99
26/03/2019,134642,40116.49,99
26/03/2019,134702,40116.46,99
26/03/2019,134722,40116.6,99
26/03/2019,134742,40116.7,99
26/03/2019,134802,40116.79,99
26/03/2019,134822,40116.89,99
26/03/2019,134842,40117.09,99
26/03/2019,134902,40116.97,99
26/03/2019,134922,40116.96,99
26/03/2019,134942,40116.97,99
26/03/2019,135002,40116.9,99
26/03/2019,135022,40116.96,99
26/03/2019,135042,40116.85,99
26/03/2019,135102,40116.96,99
26/03/2019,135122,40117.02,99
26/03/2019,135142,40117.09,99
